Frame,Result,Q1,Q2,Q3,Q4,H,S,C,I,Boost,SPHY,Purity,Purity_Noisy,Entropy,Noise_Level,Accepted,Sig,TS
3,1,1.0,1.0,1.0,1.0,0.9615,0.9526,0.9,0.0089,1.2398,91.8597,1.0,1.0,0.0,1.0,✅,f16849df2d3170a4,2026-05-19T01:27:54.160754
4,1,1.0,1.0,1.0,1.0,0.97,0.9787,0.9,0.0087,1.2047,91.8071,1.0,1.0,0.0,1.0,✅,2e914f57e6fb38e4,2026-05-19T01:27:54.160754
1,1,1.0,1.0,1.0,1.0,0.9584,0.9661,0.9,0.0077,1.2401,91.8602,1.0,1.0,0.0,1.0,✅,6bc1b31c9a0befc2,2026-05-19T01:27:54.161203
2,1,1.0,1.0,1.0,1.0,0.9756,0.9935,0.9,0.018,1.1976,91.7965,1.0,1.0,0.0,1.0,✅,ed970e8c2d14ed46,2026-05-19T01:27:54.161203
5,1,1.0,-1.0,-1.0,1.0,0.9635,0.9506,0.9,0.013,1.2309,91.8464,1.0,0.0,1.0,1.0,✅,39d27714116ebe7b,2026-05-19T01:27:54.166502
6,1,1.0,-1.0,-1.0,1.0,0.9897,0.9829,0.9,0.0068,1.187,91.7804,1.0,0.0,1.0,1.0,✅,ac3fe67c6709b718,2026-05-19T01:27:54.166693
7,1,1.0,-1.0,-1.0,1.0,0.9997,0.9845,0.9,0.0153,1.1912,91.7868,1.0,0.0,1.0,1.0,✅,0d05303002317c56,2026-05-19T01:27:54.169627
8,1,1.0,-1.0,-1.0,1.0,0.979,0.9902,0.9,0.0112,1.1758,91.7637,1.0,0.0,1.0,1.0,✅,bae6b4b6982cf37c,2026-05-19T01:27:54.169623
10,1,-1.0,-1.0,-1.0,1.0,0.9553,0.9758,0.9,0.0206,1.2057,91.8086,1.0,0.1887,0.8113,1.0,✅,b22a82872622915e,2026-05-19T01:27:54.172122
9,1,-1.0,-1.0,-1.0,1.0,0.9819,0.979,0.9,0.0029,1.1677,91.7516,1.0,0.1887,0.8113,1.0,✅,4a29dc4163a2e168,2026-05-19T01:27:54.172137
13,1,-1.0,-1.0,1.0,1.0,0.9949,0.9541,0.9,0.0408,1.3065,91.9598,1.0,0.0,1.0,1.0,✅,8e5b27770c874d91,2026-05-19T01:27:54.177194
14,1,-1.0,-1.0,1.0,1.0,0.9592,0.9601,0.9,0.0008,1.1636,91.7454,1.0,0.0,1.0,1.0,✅,7bc71e5070c928d0,2026-05-19T01:27:54.177277
